hour_index,time,requested_fraction_of_recent_resources,k,older_candidates,recent_resources,recent_labels,R6_0,Q6_recent_degree,Q6_older_degree,Q6_uniform_median,Q6_uniform_p05,Q6_uniform_p95,Q6_older_ties_p05,Q6_older_ties_median,Q6_older_ties_p95,Q6_recent_ties_p05,Q6_recent_ties_p95,recent_resources_selected_by_older_degree,recent_resource_coverage_older_degree,recent_resource_coverage_recent_degree,recent_resource_coverage_uniform_median,recent_resource_coverage_older_ties_p05,recent_resource_coverage_older_ties_p95,fraction_older_degree_actions_outside_recent
8,2026-06-16 08:00:00+00:00,0.1,1,5,5,7,0.7142857142857143,0.8,0.8,0.8,0.6,1.0,0.6,0.8,1.0,0.6,1.0,1,0.2,0.2,0.2,0.2,0.2,0.0
8,2026-06-16 08:00:00+00:00,0.25,2,5,5,7,0.7142857142857143,0.6,0.6,0.6,0.4,0.8,0.4,0.6,0.8,0.4,0.8,2,0.4,0.4,0.4,0.4,0.4,0.0
8,2026-06-16 08:00:00+00:00,0.5,3,5,5,7,0.7142857142857143,0.6,0.6,0.4,0.4,0.6,0.4,0.4,0.6,0.4,0.6,3,0.6,0.6,0.6,0.6,0.6,0.0
8,2026-06-16 08:00:00+00:00,1.0,5,5,5,7,0.7142857142857143,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5,1.0,1.0,1.0,1.0,1.0,0.0
9,2026-06-16 09:00:00+00:00,0.1,1,10,10,18,0.5555555555555556,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,1.0,1,0.1,0.1,0.1,0.1,0.1,0.0
9,2026-06-16 09:00:00+00:00,0.25,3,10,10,18,0.5555555555555556,0.5,0.5,0.8,0.4,1.0,0.4,0.5,0.5,0.4,0.5,3,0.3,0.3,0.3,0.3,0.3,0.0
9,2026-06-16 09:00:00+00:00,0.5,5,10,10,18,0.5555555555555556,0.5,0.5,0.5,0.3,0.9,0.3,0.3,0.5,0.3,0.5,5,0.5,0.5,0.5,0.5,0.5,0.0
9,2026-06-16 09:00:00+00:00,1.0,10,10,10,18,0.5555555555555556,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10,1.0,1.0,1.0,1.0,1.0,0.0
10,2026-06-16 10:00:00+00:00,0.1,3,29,29,45,0.6888888888888889,0.6451612903225806,0.6451612903225806,1.0,0.7096774193548387,1.0,0.6451612903225806,0.7741935483870968,0.7741935483870968,0.6451612903225806,0.7741935483870968,3,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.0
10,2026-06-16 10:00:00+00:00,0.25,8,29,29,45,0.6888888888888889,0.3225806451612903,0.3225806451612903,0.7096774193548387,0.45161290322580644,1.0,0.3225806451612903,0.3225806451612903,0.3225806451612903,0.3225806451612903,0.3225806451612903,8,0.27586206896551724,0.27586206896551724,0.27586206896551724,0.27586206896551724,0.27586206896551724,0.0
10,2026-06-16 10:00:00+00:00,0.5,15,29,29,45,0.6888888888888889,0.16129032258064516,0.16129032258064516,0.45161290322580644,0.25806451612903225,0.7435483870967727,0.12903225806451613,0.16129032258064516,0.1935483870967742,0.12903225806451613,0.1935483870967742,15,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.0
10,2026-06-16 10:00:00+00:00,1.0,29,29,29,45,0.6888888888888889,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,29,1.0,1.0,1.0,1.0,1.0,0.0
11,2026-06-16 11:00:00+00:00,0.1,4,40,40,58,0.6896551724137931,0.725,0.725,0.975,0.75,1.0,0.725,0.725,0.725,0.725,0.725,4,0.1,0.1,0.1,0.1,0.1,0.0
