source,hour_index,time,k,requested_fraction,recent_resources,min_recent_resources_selected,max_recent_resources_selected
hourly,8,2026-06-16 08:00:00+00:00,1,0.1,5,1,1
hourly,8,2026-06-16 08:00:00+00:00,2,0.25,5,2,2
hourly,8,2026-06-16 08:00:00+00:00,3,0.5,5,3,3
hourly,8,2026-06-16 08:00:00+00:00,5,1.0,5,5,5
hourly,9,2026-06-16 09:00:00+00:00,1,0.1,10,1,1
hourly,9,2026-06-16 09:00:00+00:00,3,0.25,10,3,3
hourly,9,2026-06-16 09:00:00+00:00,5,0.5,10,5,5
hourly,9,2026-06-16 09:00:00+00:00,10,1.0,10,10,10
hourly,10,2026-06-16 10:00:00+00:00,3,0.1,29,3,3
hourly,10,2026-06-16 10:00:00+00:00,8,0.25,29,8,8
hourly,10,2026-06-16 10:00:00+00:00,15,0.5,29,15,15
hourly,10,2026-06-16 10:00:00+00:00,29,1.0,29,29,29
hourly,11,2026-06-16 11:00:00+00:00,4,0.1,40,4,4
hourly,11,2026-06-16 11:00:00+00:00,10,0.25,40,10,10
hourly,11,2026-06-16 11:00:00+00:00,20,0.5,40,20,20
hourly,11,2026-06-16 11:00:00+00:00,40,1.0,40,40,40
hourly,12,2026-06-16 12:00:00+00:00,5,0.1,43,5,5
hourly,12,2026-06-16 12:00:00+00:00,11,0.25,43,11,11
hourly,12,2026-06-16 12:00:00+00:00,22,0.5,43,22,22
hourly,12,2026-06-16 12:00:00+00:00,43,1.0,43,43,43
hourly,13,2026-06-16 13:00:00+00:00,5,0.1,49,5,5
hourly,13,2026-06-16 13:00:00+00:00,13,0.25,49,13,13
hourly,13,2026-06-16 13:00:00+00:00,25,0.5,49,25,25
hourly,13,2026-06-16 13:00:00+00:00,49,1.0,49,49,49
hourly,14,2026-06-16 14:00:00+00:00,5,0.1,41,5,5
hourly,14,2026-06-16 14:00:00+00:00,11,0.25,41,11,11
hourly,14,2026-06-16 14:00:00+00:00,21,0.5,41,20,21
hourly,14,2026-06-16 14:00:00+00:00,41,1.0,41,33,40
hourly,15,2026-06-16 15:00:00+00:00,4,0.1,34,4,4
hourly,15,2026-06-16 15:00:00+00:00,9,0.25,34,9,9
hourly,15,2026-06-16 15:00:00+00:00,17,0.5,34,16,16
hourly,15,2026-06-16 15:00:00+00:00,34,1.0,34,21,31
hourly,16,2026-06-16 16:00:00+00:00,3,0.1,24,3,3
hourly,16,2026-06-16 16:00:00+00:00,6,0.25,24,6,6
hourly,16,2026-06-16 16:00:00+00:00,12,0.5,24,10,12
hourly,16,2026-06-16 16:00:00+00:00,24,1.0,24,17,17
hourly,17,2026-06-16 17:00:00+00:00,2,0.1,15,0,1
hourly,17,2026-06-16 17:00:00+00:00,4,0.25,15,1,2
hourly,17,2026-06-16 17:00:00+00:00,8,0.5,15,4,5
hourly,17,2026-06-16 17:00:00+00:00,15,1.0,15,6,7
hourly,18,2026-06-16 18:00:00+00:00,1,0.1,10,0,0
hourly,18,2026-06-16 18:00:00+00:00,3,0.25,10,1,1
hourly,18,2026-06-16 18:00:00+00:00,5,0.5,10,2,3
hourly,18,2026-06-16 18:00:00+00:00,10,1.0,10,4,4
hourly,19,2026-06-16 19:00:00+00:00,3,0.1,25,3,3
hourly,19,2026-06-16 19:00:00+00:00,7,0.25,25,6,6
hourly,19,2026-06-16 19:00:00+00:00,13,0.5,25,8,8
hourly,19,2026-06-16 19:00:00+00:00,25,1.0,25,11,11
hourly,20,2026-06-16 20:00:00+00:00,9,0.1,86,9,9
hourly,20,2026-06-16 20:00:00+00:00,22,0.25,86,21,21
hourly,20,2026-06-16 20:00:00+00:00,43,0.5,86,36,38
hourly,20,2026-06-16 20:00:00+00:00,86,1.0,86,57,72
hourly,21,2026-06-16 21:00:00+00:00,13,0.1,126,13,13
hourly,21,2026-06-16 21:00:00+00:00,32,0.25,126,32,32
hourly,21,2026-06-16 21:00:00+00:00,63,0.5,126,56,60
hourly,21,2026-06-16 21:00:00+00:00,126,1.0,126,92,115
hourly,22,2026-06-16 22:00:00+00:00,18,0.1,180,18,18
hourly,22,2026-06-16 22:00:00+00:00,45,0.25,180,44,45
hourly,22,2026-06-16 22:00:00+00:00,90,0.5,180,82,83
hourly,22,2026-06-16 22:00:00+00:00,180,1.0,180,147,169
hourly,23,2026-06-16 23:00:00+00:00,21,0.1,205,21,21
hourly,23,2026-06-16 23:00:00+00:00,52,0.25,205,51,52
hourly,23,2026-06-16 23:00:00+00:00,103,0.5,205,95,96
hourly,23,2026-06-16 23:00:00+00:00,205,1.0,205,173,194
hourly,24,2026-06-17 00:00:00+00:00,22,0.1,216,22,22
hourly,24,2026-06-17 00:00:00+00:00,54,0.25,216,53,54
hourly,24,2026-06-17 00:00:00+00:00,108,0.5,216,101,101
hourly,24,2026-06-17 00:00:00+00:00,216,1.0,216,184,205
hourly,25,2026-06-17 01:00:00+00:00,22,0.1,214,22,22
hourly,25,2026-06-17 01:00:00+00:00,54,0.25,214,53,54
hourly,25,2026-06-17 01:00:00+00:00,107,0.5,214,95,101
hourly,25,2026-06-17 01:00:00+00:00,214,1.0,214,162,196
hourly,26,2026-06-17 02:00:00+00:00,18,0.1,180,11,12
hourly,26,2026-06-17 02:00:00+00:00,45,0.25,180,36,36
hourly,26,2026-06-17 02:00:00+00:00,90,0.5,180,63,69
hourly,26,2026-06-17 02:00:00+00:00,180,1.0,180,111,128
hourly,27,2026-06-17 03:00:00+00:00,17,0.1,161,9,9
hourly,27,2026-06-17 03:00:00+00:00,41,0.25,161,25,26
hourly,27,2026-06-17 03:00:00+00:00,81,0.5,161,49,53
hourly,27,2026-06-17 03:00:00+00:00,161,1.0,161,82,100
hourly,28,2026-06-17 04:00:00+00:00,13,0.1,123,6,6
hourly,28,2026-06-17 04:00:00+00:00,31,0.25,123,13,13
hourly,28,2026-06-17 04:00:00+00:00,62,0.5,123,22,25
hourly,28,2026-06-17 04:00:00+00:00,123,1.0,123,44,53
hourly,29,2026-06-17 05:00:00+00:00,11,0.1,104,3,3
hourly,29,2026-06-17 05:00:00+00:00,26,0.25,104,6,7
hourly,29,2026-06-17 05:00:00+00:00,52,0.5,104,13,15
hourly,29,2026-06-17 05:00:00+00:00,104,1.0,104,31,31
hourly,30,2026-06-17 06:00:00+00:00,10,0.1,98,2,2
hourly,30,2026-06-17 06:00:00+00:00,25,0.25,98,6,6
hourly,30,2026-06-17 06:00:00+00:00,49,0.5,98,12,12
hourly,30,2026-06-17 06:00:00+00:00,98,1.0,98,22,28
hourly,31,2026-06-17 07:00:00+00:00,10,0.1,92,2,2
hourly,31,2026-06-17 07:00:00+00:00,23,0.25,92,6,6
hourly,31,2026-06-17 07:00:00+00:00,46,0.5,92,10,10
hourly,31,2026-06-17 07:00:00+00:00,92,1.0,92,20,26
hourly,32,2026-06-17 08:00:00+00:00,9,0.1,81,2,2
hourly,32,2026-06-17 08:00:00+00:00,21,0.25,81,5,5
hourly,32,2026-06-17 08:00:00+00:00,41,0.5,81,6,7
hourly,32,2026-06-17 08:00:00+00:00,81,1.0,81,12,16
hourly,33,2026-06-17 09:00:00+00:00,7,0.1,62,2,2
hourly,33,2026-06-17 09:00:00+00:00,16,0.25,62,4,4
hourly,33,2026-06-17 09:00:00+00:00,31,0.5,62,6,6
hourly,33,2026-06-17 09:00:00+00:00,62,1.0,62,9,10
hourly,34,2026-06-17 10:00:00+00:00,5,0.1,49,2,2
hourly,34,2026-06-17 10:00:00+00:00,13,0.25,49,2,3
hourly,34,2026-06-17 10:00:00+00:00,25,0.5,49,5,5
hourly,34,2026-06-17 10:00:00+00:00,49,1.0,49,7,7
hourly,35,2026-06-17 11:00:00+00:00,5,0.1,45,2,2
hourly,35,2026-06-17 11:00:00+00:00,12,0.25,45,2,3
hourly,35,2026-06-17 11:00:00+00:00,23,0.5,45,5,5
hourly,35,2026-06-17 11:00:00+00:00,45,1.0,45,7,7
hourly,36,2026-06-17 12:00:00+00:00,5,0.1,41,1,1
hourly,36,2026-06-17 12:00:00+00:00,11,0.25,41,1,1
hourly,36,2026-06-17 12:00:00+00:00,21,0.5,41,4,4
hourly,36,2026-06-17 12:00:00+00:00,41,1.0,41,4,4
hourly,37,2026-06-17 13:00:00+00:00,4,0.1,31,0,0
hourly,37,2026-06-17 13:00:00+00:00,8,0.25,31,1,1
hourly,37,2026-06-17 13:00:00+00:00,16,0.5,31,3,3
hourly,37,2026-06-17 13:00:00+00:00,31,1.0,31,4,5
hourly,38,2026-06-17 14:00:00+00:00,2,0.1,17,0,0
hourly,38,2026-06-17 14:00:00+00:00,5,0.25,17,1,1
hourly,38,2026-06-17 14:00:00+00:00,9,0.5,17,1,1
hourly,38,2026-06-17 14:00:00+00:00,17,1.0,17,2,3
hourly,39,2026-06-17 15:00:00+00:00,1,0.1,10,0,0
hourly,39,2026-06-17 15:00:00+00:00,3,0.25,10,0,0
hourly,39,2026-06-17 15:00:00+00:00,5,0.5,10,1,1
hourly,39,2026-06-17 15:00:00+00:00,10,1.0,10,1,1
hourly,40,2026-06-17 16:00:00+00:00,1,0.1,7,0,0
hourly,40,2026-06-17 16:00:00+00:00,2,0.25,7,0,0
hourly,40,2026-06-17 16:00:00+00:00,4,0.5,7,0,0
hourly,40,2026-06-17 16:00:00+00:00,7,1.0,7,0,0
hourly,41,2026-06-17 17:00:00+00:00,2,0.1,20,0,0
hourly,41,2026-06-17 17:00:00+00:00,5,0.25,20,0,0
hourly,41,2026-06-17 17:00:00+00:00,10,0.5,20,0,0
hourly,41,2026-06-17 17:00:00+00:00,20,1.0,20,0,0
hourly,42,2026-06-17 18:00:00+00:00,3,0.1,24,0,0
hourly,42,2026-06-17 18:00:00+00:00,6,0.25,24,0,0
hourly,42,2026-06-17 18:00:00+00:00,12,0.5,24,0,0
hourly,42,2026-06-17 18:00:00+00:00,24,1.0,24,1,1
hourly,43,2026-06-17 19:00:00+00:00,3,0.1,26,0,0
hourly,43,2026-06-17 19:00:00+00:00,7,0.25,26,0,0
hourly,43,2026-06-17 19:00:00+00:00,13,0.5,26,0,1
hourly,43,2026-06-17 19:00:00+00:00,26,1.0,26,2,2
hourly,44,2026-06-17 20:00:00+00:00,4,0.1,31,0,0
hourly,44,2026-06-17 20:00:00+00:00,8,0.25,31,1,1
