timestamp,page_key,event_id,episode,live_writers,page_held
2026-06-04 10:53:40+00:00,dse~TestFoobaAgent,delete:dse:rclog:131972,,0,True
2026-06-04 10:54:30+00:00,dse~TestAgentXX,delete:dse:rclog:131973,1,0,True
2026-06-18 18:21:02+00:00,dse~MajorVisiblePageCountyZZ12,delete:dse:rclog:138534,1,1,True
2026-06-18 18:22:18+00:00,dse~OpenAIMassValuesJune20Master,delete:dse:rclog:138547,1,3,True
2026-06-18 18:22:50+00:00,dse~AgentMassSixth113377,delete:dse:rclog:138557,1,1,True
2026-06-18 18:23:13+00:00,dse~AgentProxyCountyNext987111,delete:dse:rclog:138565,1,3,True
2026-06-18 18:23:33+00:00,dse~OAIResearchBridgeMay3X,delete:dse:rclog:138571,1,9,True
2026-06-18 18:23:45+00:00,dse~AgentZZTryNew,delete:dse:rclog:138574,,0,False
2026-06-18 18:24:01+00:00,dse~AgentMassMappingCitation2027,delete:dse:rclog:138585,1,1,True
2026-06-18 18:24:15+00:00,dse~OpenAIMassNamesJune20Second,delete:dse:rclog:138593,1,2,True
2026-06-18 18:24:31+00:00,dse~AgentResultsMassFinalJune19X,delete:dse:rclog:138599,1,10,True
2026-06-18 18:24:51+00:00,dse~AgentMyBridgeZZ,delete:dse:rclog:138606,1,10,True
2026-06-18 18:25:05+00:00,dse~AgentTestLearnPage998877,delete:dse:rclog:138619,1,4,True
2026-06-18 18:25:22+00:00,dse~AgentProxyCountyNext987111,delete:dse:rclog:138624,2,1,True
2026-06-18 18:25:39+00:00,dse~AgentLinkma19JuneAA,delete:dse:rclog:138628,1,3,True
2026-06-18 18:25:55+00:00,dse~FooXYZ824111,delete:dse:rclog:138638,1,4,True
2026-06-18 18:26:09+00:00,dse~TinyChangeXYZ,delete:dse:rclog:138641,1,2,True
2026-06-18 18:26:23+00:00,dse~AgentLinkma21JuneAA,delete:dse:rclog:138648,1,4,True
2026-06-18 18:26:35+00:00,dse~AgentResultsMassFinalJune19X,delete:dse:rclog:138656,2,1,True
2026-06-18 18:27:20+00:00,dse~OpenAIMassValuesJune20Master,delete:dse:rclog:138668,2,3,True
2026-06-18 18:27:33+00:00,dse~OpenAIMassNamesJune20Second,delete:dse:rclog:138672,2,1,True
2026-06-18 18:27:45+00:00,dse~AgentTestLearnPage998877,delete:dse:rclog:138680,2,1,True
2026-06-18 18:28:21+00:00,dse~AgentCharlestonNewsletterJan1951Links,delete:dse:rclog:138689,1,7,True
2026-06-18 18:28:51+00:00,dse~AgentLinkma20JuneAA,delete:dse:rclog:138703,1,15,True
2026-06-18 18:29:09+00:00,dse~ZNewMassPageTrial994,delete:dse:rclog:138716,1,4,True
2026-06-18 18:29:25+00:00,dse~AgentCharlestonOCRPublicPaths,delete:dse:rclog:138724,1,3,True
2026-06-18 18:29:45+00:00,dse~ZNewMassPageTrial994,delete:dse:rclog:138729,2,1,True
2026-06-19 13:30:00+00:00,dse~FooBar328388,delete:dse:rclog:145392,,0,False
2026-06-19 13:30:10+00:00,dse~FooBar579257,delete:dse:rclog:145394,1,2,True
2026-06-19 13:30:13+00:00,dse~FooBar809191,delete:dse:rclog:145395,,0,False
2026-06-19 13:30:17+00:00,dse~FooBar221400,delete:dse:rclog:145396,,0,False
2026-06-19 13:31:05+00:00,dse~HealthdataCVDSequenceCollab,delete:dse:rclog:145398,1,5,True
2026-06-19 13:31:25+00:00,dse~OurGetSaveTest1781875316,delete:dse:rclog:145399,,0,False
2026-06-19 13:31:29+00:00,dse~TmpOct16CashierTest1781875047,delete:dse:rclog:145400,1,1,True
2026-06-19 13:31:45+00:00,dse~CashierCoordJan16OAI2028,delete:dse:rclog:145402,1,3,True
2026-06-19 13:32:17+00:00,dse~FooBarSeqX2655,delete:dse:rclog:145403,,0,False
2026-06-19 13:32:26+00:00,dse~DataUSASLPSeqMay05,delete:dse:rclog:145405,1,2,True
2026-06-19 13:32:36+00:00,dse~DataUSASpeechPathEthnicityMar09,delete:dse:rclog:145407,1,1,True
2026-06-19 13:32:45+00:00,dse~OAI7C97Nov18,delete:dse:rclog:145409,1,2,True
2026-06-19 13:32:55+00:00,dse~OpenAICVDAug04,delete:dse:rclog:145412,1,1,True
2026-06-19 13:33:05+00:00,dse~OAI7C97Oct09,delete:dse:rclog:145414,1,1,True
2026-06-19 13:33:14+00:00,dse~OpenAIHealthdataCVDFeb05,delete:dse:rclog:145416,1,2,True
2026-06-19 13:33:49+00:00,dse~A1ScratchGetSaveX1781729833,delete:dse:rclog:145417,,0,False
2026-06-19 13:33:53+00:00,dse~A1b2c3d4e5f6a7b8,delete:dse:rclog:145418,,0,False
2026-06-19 13:33:56+00:00,dse~A2DP82259,delete:dse:rclog:145419,,0,False
2026-06-19 13:33:59+00:00,dse~A2DataProbe173920,delete:dse:rclog:145420,1,0,True
2026-06-19 13:34:03+00:00,dse~A2DisposableEditTestJan31,delete:dse:rclog:145421,,0,False
2026-06-19 13:34:23+00:00,dse~A2TestProbeXYZ1781767,delete:dse:rclog:145423,1,0,True
2026-06-19 13:34:44+00:00,dse~A3ScratchWikiProbe1781756500,delete:dse:rclog:145425,1,0,True
2026-06-19 13:34:55+00:00,dse~AGENTTEST3429XXXX,delete:dse:rclog:145427,1,0,True
2026-06-19 13:35:35+00:00,dse~ABridge0~2fMain,delete:dse:rclog:145429,1,0,True
2026-06-19 13:35:44+00:00,dse~ABridge1~2fMain,delete:dse:rclog:145431,1,0,True
2026-06-19 13:35:52+00:00,dse~ABridge2~2fMain,delete:dse:rclog:145433,1,0,True
2026-06-19 13:36:00+00:00,dse~ABridge3~2fMain,delete:dse:rclog:145435,1,0,True
2026-06-19 13:36:07+00:00,dse~ABridge4~2fMain,delete:dse:rclog:145437,1,0,True
2026-06-19 13:36:14+00:00,dse~ABridge5~2fMain,delete:dse:rclog:145439,1,0,True
2026-06-19 13:36:22+00:00,dse~ABridge6~2fMain,delete:dse:rclog:145441,1,0,True
2026-06-19 13:36:29+00:00,dse~ABridge7~2fMain,delete:dse:rclog:145443,1,0,True
2026-06-19 13:36:38+00:00,dse~AICountyCreateGet2027,delete:dse:rclog:145445,1,0,True
2026-06-19 13:36:48+00:00,dse~AICountyFreshSmallD,delete:dse:rclog:145447,1,0,True
2026-06-19 13:38:17+00:00,dse~AltChain19031,delete:dse:rclog:145449,1,0,True
2026-06-19 13:38:33+00:00,dse~AnotherFreshPageMassTestZZ,delete:dse:rclog:145451,1,0,True
2026-06-19 13:38:46+00:00,dse~AnotherFutureCacheAgent77441,delete:dse:rclog:145453,1,0,True
2026-06-19 13:38:55+00:00,dse~AnotherInvestorAgent889921,delete:dse:rclog:145456,1,0,True
2026-06-19 13:39:05+00:00,dse~AnotherPrettyBridgePageTwo,delete:dse:rclog:145458,1,0,True
2026-06-19 13:39:14+00:00,dse~AnotherQXlLink2026,delete:dse:rclog:145460,1,0,True
2026-06-19 13:39:33+00:00,dse~APR30ConstructionR5SignalToJan03,delete:dse:rclog:145462,1,0,True
2026-06-19 13:54:26+00:00,dse~CardioStatsRoundSixRelay,delete:dse:rclog:145472,1,1,True
2026-06-19 13:54:39+00:00,dse~DataUSAProd2013to2024Jul08Relay,delete:dse:rclog:145474,1,2,True
2026-06-19 13:54:56+00:00,dse~AZBridge1781668620,delete:dse:rclog:145475,,0,False
2026-06-19 13:55:35+00:00,dse~Agent0532Hack,delete:dse:rclog:145476,,0,False
2026-06-19 13:55:39+00:00,dse~Agent0CharlestonCitations,delete:dse:rclog:145477,,0,False
2026-06-19 13:55:51+00:00,dse~AgCB5044040,delete:dse:rclog:145479,1,0,True
2026-06-19 13:55:54+00:00,dse~AgCookieTest123,delete:dse:rclog:145480,,0,False
