k,policy,largest_label_component,R,subsets,total_subsets,probability
0,uniform,8,0.2962962962962963,1,1,1.0
0,degree_ties,8,0.2962962962962963,1,1,1.0
1,uniform,6,0.2222222222222222,1,18,0.05555555555555555
1,uniform,7,0.25925925925925924,5,18,0.2777777777777778
1,uniform,8,0.2962962962962963,12,18,0.6666666666666666
1,degree_ties,6,0.2222222222222222,1,4,0.25
1,degree_ties,8,0.2962962962962963,3,4,0.75
2,uniform,6,0.2222222222222222,27,153,0.17647058823529413
2,uniform,7,0.25925925925925924,60,153,0.39215686274509803
2,uniform,8,0.2962962962962963,66,153,0.43137254901960786
2,degree_ties,6,0.2222222222222222,3,6,0.5
2,degree_ties,8,0.2962962962962963,3,6,0.5
3,uniform,5,0.18518518518518517,15,816,0.01838235294117647
3,uniform,6,0.2222222222222222,251,816,0.3075980392156863
3,uniform,7,0.25925925925925924,330,816,0.40441176470588236
3,uniform,8,0.2962962962962963,220,816,0.2696078431372549
3,degree_ties,6,0.2222222222222222,3,4,0.75
3,degree_ties,8,0.2962962962962963,1,4,0.25
4,uniform,4,0.14814814814814814,20,3060,0.006535947712418301
4,uniform,5,0.18518518518518517,190,3060,0.06209150326797386
4,uniform,6,0.2222222222222222,1255,3060,0.41013071895424835
4,uniform,7,0.25925925925925924,1100,3060,0.35947712418300654
4,uniform,8,0.2962962962962963,495,3060,0.16176470588235295
4,degree_ties,6,0.2222222222222222,1,1,1.0
5,uniform,4,0.14814814814814814,240,8568,0.028011204481792718
5,uniform,5,0.18518518518518517,1085,8568,0.12663398692810457
5,uniform,6,0.2222222222222222,3976,8568,0.46405228758169936
5,uniform,7,0.25925925925925924,2475,8568,0.28886554621848737
5,uniform,8,0.2962962962962963,792,8568,0.09243697478991597
5,degree_ties,5,0.18518518518518517,5,14,0.35714285714285715
5,degree_ties,6,0.2222222222222222,9,14,0.6428571428571429
6,uniform,3,0.1111111111111111,20,18564,0.0010773540185304892
6,uniform,4,0.14814814814814814,1307,18564,0.07040508511096746
6,uniform,5,0.18518518518518517,3706,18564,0.19963369963369965
6,uniform,6,0.2222222222222222,8647,18564,0.465794009911657
6,uniform,7,0.25925925925925924,3960,18564,0.21331609566903684
6,uniform,8,0.2962962962962963,924,18564,0.049773755656108594
6,degree_ties,4,0.14814814814814814,10,91,0.10989010989010989
6,degree_ties,5,0.18518518518518517,45,91,0.4945054945054945
6,degree_ties,6,0.2222222222222222,36,91,0.3956043956043956
7,uniform,3,0.1111111111111111,232,31824,0.007290095525389643
7,uniform,4,0.14814814814814814,4246,31824,0.13342131724484665
7,uniform,5,0.18518518518518517,8455,31824,0.2656799899446958
7,uniform,6,0.2222222222222222,13479,31824,0.42354826546003016
7,uniform,7,0.25925925925925924,4620,31824,0.14517345399698342
7,uniform,8,0.2962962962962963,792,31824,0.024886877828054297
7,degree_ties,4,0.14814814814814814,100,364,0.27472527472527475
7,degree_ties,5,0.18518518518518517,180,364,0.4945054945054945
7,degree_ties,6,0.2222222222222222,84,364,0.23076923076923078
8,uniform,3,0.1111111111111111,1174,43758,0.02682937977055624
8,uniform,4,0.14814814814814814,9122,43758,0.20846473787650258
8,uniform,5,0.18518518518518517,13605,43758,0.310914575620458
8,uniform,6,0.2222222222222222,15402,43758,0.351981351981352
8,uniform,7,0.25925925925925924,3960,43758,0.09049773755656108
8,uniform,8,0.2962962962962963,495,43758,0.011312217194570135
8,degree_ties,3,0.1111111111111111,20,1001,0.01998001998001998
8,degree_ties,4,0.14814814814814814,435,1001,0.43456543456543456
8,degree_ties,5,0.18518518518518517,420,1001,0.4195804195804196
8,degree_ties,6,0.2222222222222222,126,1001,0.1258741258741259
9,uniform,3,0.1111111111111111,3436,48620,0.07067050596462361
9,uniform,4,0.14814814814814814,13614,48620,0.2800082270670506
9,uniform,5,0.18518518518518517,15870,48620,0.3264088852324146
9,uniform,6,0.2222222222222222,13005,48620,0.2674825174825175
9,uniform,7,0.25925925925925924,2475,48620,0.05090497737556561
9,uniform,8,0.2962962962962963,220,48620,0.004524886877828055
9,degree_ties,3,0.1111111111111111,170,2002,0.08491508491508491
9,degree_ties,4,0.14814814814814814,1076,2002,0.5374625374625375
9,degree_ties,5,0.18518518518518517,630,2002,0.3146853146853147
9,degree_ties,6,0.2222222222222222,126,2002,0.06293706293706294
10,uniform,2,0.07407407407407407,10,43758,0.00022852964029434618
10,uniform,3,0.1111111111111111,6488,43758,0.1482700306229718
10,uniform,4,0.14814814814814814,14457,43758,0.33038530097353624
10,uniform,5,0.18518518518518517,13560,43758,0.30988619223913344
10,uniform,6,0.2222222222222222,8077,43758,0.1845833904657434
10,uniform,7,0.25925925925925924,1100,43758,0.02513826043237808
10,uniform,8,0.2962962962962963,66,43758,0.0015082956259426848
10,degree_ties,2,0.07407407407407407,10,3003,0.00333000333000333
10,degree_ties,3,0.1111111111111111,612,3003,0.2037962037962038
10,degree_ties,4,0.14814814814814814,1667,3003,0.5551115551115551
10,degree_ties,5,0.18518518518518517,630,3003,0.2097902097902098
10,degree_ties,6,0.2222222222222222,84,3003,0.027972027972027972
11,uniform,2,0.07407407407407407,72,31824,0.0022624434389140274
11,uniform,3,0.1111111111111111,8319,31824,0.26140648567119157
11,uniform,4,0.14814814814814814,11013,31824,0.34605957767722473
11,uniform,5,0.18518518518518517,8457,31824,0.26574283559577677
11,uniform,6,0.2222222222222222,3621,31824,0.11378205128205128
11,uniform,7,0.25925925925925924,330,31824,0.010369532428355957
11,uniform,8,0.2962962962962963,12,31824,0.0003770739064856712
11,degree_ties,2,0.07407407407407407,72,3432,0.02097902097902098
11,degree_ties,3,0.1111111111111111,1224,3432,0.35664335664335667
11,degree_ties,4,0.14814814814814814,1680,3432,0.48951048951048953
11,degree_ties,5,0.18518518518518517,420,3432,0.12237762237762238
11,degree_ties,6,0.2222222222222222,36,3432,0.01048951048951049
12,uniform,2,0.07407407407407407,219,18564,0.011797026502908856
12,uniform,3,0.1111111111111111,7391,18564,0.3981361775479422
12,uniform,4,0.14814814814814814,5986,18564,0.3224520577461754
