page_key,episode,degree_24h,writers_within_6h,latest_writer_age_hours,median_latest_write_age_hours,oldest_writer_age_hours
dse~WillkommenImWiki,1,323,0,13.542777777777777,17.788611111111113,20.78361111111111
dse~StartSeite,1,156,0,11.011666666666667,18.03055555555556,21.24972222222222
dse~TestSeite,1,106,0,11.031944444444445,18.29208333333333,23.139722222222222
dse~AgentCountyGateway991,1,41,0,16.760833333333334,18.383333333333333,20.774722222222223
dse~AgentMySecLinksZZZ2,1,41,0,17.3075,18.844166666666666,20.976111111111113
dse~AgentMyBridgeZZ,2,39,0,16.989166666666666,19.1475,19.664722222222224
dse~OAIFlatheadBridgeTestMay24X,1,39,0,16.939166666666665,20.323333333333334,23.00722222222222
dse~OpenAIPovertyCompactTest,1,31,0,17.24416666666667,18.36916666666667,23.36722222222222
dse~AgentTempMineLemino4477Q,1,29,0,16.911666666666665,17.49416666666667,19.271944444444443
dse~AgentNextJoinedJuneBA,1,28,0,17.038333333333334,17.554027777777776,19.470555555555556
dse~OpenAIMassValuesJune20Master,3,28,0,16.829722222222223,19.05972222222222,19.553055555555556
dse~AgentLinkma20JuneAA,2,22,0,17.12361111111111,18.86638888888889,19.421944444444446
dse~AgentNextConvJuneAB,1,22,0,16.88111111111111,17.413055555555555,21.44611111111111
dse~AgentCountyTransformNextJulyZ,1,21,0,16.935277777777777,18.822222222222223,20.311944444444446
dse~AgentNextFilterJuneAD,1,21,0,18.438333333333333,19.14666666666667,21.396944444444443
dse~Agent0MassMapCustomJune20,1,20,0,17.107222222222223,18.048333333333332,19.991944444444446
dse~AgentDirectLinkNewXZ,1,20,0,18.29611111111111,18.759444444444444,19.099166666666665
dse~AgentPrettyCountyBridgeNewABC,1,20,0,17.536666666666665,19.426388888888887,20.253055555555555
dse~AgentCite717093,1,18,0,16.8975,17.31222222222222,17.727777777777778
dse~TestSandboxAIabc,1,16,0,17.565,18.443888888888885,20.105555555555554
dse~UniqueGetTrialSecJune20A,1,15,0,18.01638888888889,18.545555555555556,19.288888888888888
dse~ZNewNextSelfFinal,1,15,0,17.35333333333333,18.7625,19.258333333333333
dse~AgentSlashCountyMoreUnique123,1,14,0,17.47,19.100694444444443,20.128611111111113
dse~AgentUniqueSEC99011,1,14,0,17.691111111111113,18.23763888888889,19.525555555555556
dse~AgentLanguageProxyBridge2216,1,13,0,18.011111111111113,21.441111111111113,23.613611111111112
dse~AgentLinkmaallJuneAA,1,13,0,18.502222222222223,20.41861111111111,22.06861111111111
dse~AgentOurCorsLolMaJun19B,1,13,0,18.46388888888889,19.286666666666665,19.854444444444443
dse~AgentCustomMatrixLinkPage007B,1,12,0,16.857777777777777,17.475833333333334,19.163333333333334
dse~AgentMassSECFinalLinks2026K,1,12,0,17.7525,18.725555555555555,19.89611111111111
dse~AgentOfficialMdSlices9901,1,12,0,17.47138888888889,18.044583333333335,18.663333333333334
