source,hour_index,time,evaluation_hours,ranking_hours,older_candidates,recent_resources,recent_labels
hourly,1,2026-06-16 01:00:00+00:00,1,24,0,0,0
hourly,1,2026-06-16 01:00:00+00:00,3,24,0,0,0
hourly,1,2026-06-16 01:00:00+00:00,6,24,0,0,0
hourly,1,2026-06-16 01:00:00+00:00,12,24,0,0,0
hourly,2,2026-06-16 02:00:00+00:00,1,24,0,0,0
hourly,2,2026-06-16 02:00:00+00:00,3,24,0,0,0
hourly,2,2026-06-16 02:00:00+00:00,6,24,0,0,0
hourly,2,2026-06-16 02:00:00+00:00,12,24,0,0,0
hourly,3,2026-06-16 03:00:00+00:00,1,24,0,0,0
hourly,3,2026-06-16 03:00:00+00:00,3,24,0,0,0
hourly,3,2026-06-16 03:00:00+00:00,6,24,0,0,0
hourly,3,2026-06-16 03:00:00+00:00,12,24,0,0,0
hourly,4,2026-06-16 04:00:00+00:00,1,24,0,0,0
hourly,4,2026-06-16 04:00:00+00:00,3,24,0,0,0
hourly,4,2026-06-16 04:00:00+00:00,6,24,0,0,0
hourly,4,2026-06-16 04:00:00+00:00,12,24,0,0,0
hourly,5,2026-06-16 05:00:00+00:00,1,24,0,0,0
hourly,5,2026-06-16 05:00:00+00:00,3,24,0,0,0
hourly,5,2026-06-16 05:00:00+00:00,6,24,0,0,0
hourly,5,2026-06-16 05:00:00+00:00,12,24,0,0,0
hourly,6,2026-06-16 06:00:00+00:00,1,24,0,0,0
hourly,6,2026-06-16 06:00:00+00:00,3,24,0,0,0
hourly,6,2026-06-16 06:00:00+00:00,6,24,0,0,0
hourly,6,2026-06-16 06:00:00+00:00,12,24,0,0,0
hourly,7,2026-06-16 07:00:00+00:00,1,24,0,0,0
hourly,7,2026-06-16 07:00:00+00:00,3,24,0,0,0
hourly,7,2026-06-16 07:00:00+00:00,6,24,0,0,0
hourly,7,2026-06-16 07:00:00+00:00,12,24,0,0,0
hourly,8,2026-06-16 08:00:00+00:00,1,24,5,5,7
hourly,8,2026-06-16 08:00:00+00:00,3,24,5,5,7
hourly,8,2026-06-16 08:00:00+00:00,6,24,5,5,7
hourly,8,2026-06-16 08:00:00+00:00,12,24,5,5,7
hourly,9,2026-06-16 09:00:00+00:00,1,24,10,4,8
hourly,9,2026-06-16 09:00:00+00:00,3,24,10,10,18
hourly,9,2026-06-16 09:00:00+00:00,6,24,10,10,18
hourly,9,2026-06-16 09:00:00+00:00,12,24,10,10,18
hourly,10,2026-06-16 10:00:00+00:00,1,24,29,13,25
hourly,10,2026-06-16 10:00:00+00:00,3,24,29,29,45
hourly,10,2026-06-16 10:00:00+00:00,6,24,29,29,45
hourly,10,2026-06-16 10:00:00+00:00,12,24,29,29,45
hourly,11,2026-06-16 11:00:00+00:00,1,24,40,12,24
hourly,11,2026-06-16 11:00:00+00:00,3,24,40,32,47
hourly,11,2026-06-16 11:00:00+00:00,6,24,40,40,58
hourly,11,2026-06-16 11:00:00+00:00,12,24,40,40,58
hourly,12,2026-06-16 12:00:00+00:00,1,24,43,5,16
hourly,12,2026-06-16 12:00:00+00:00,3,24,43,25,41
hourly,12,2026-06-16 12:00:00+00:00,6,24,43,43,61
hourly,12,2026-06-16 12:00:00+00:00,12,24,43,43,61
hourly,13,2026-06-16 13:00:00+00:00,1,24,49,7,9
hourly,13,2026-06-16 13:00:00+00:00,3,24,49,22,32
hourly,13,2026-06-16 13:00:00+00:00,6,24,49,49,67
hourly,13,2026-06-16 13:00:00+00:00,12,24,49,49,67
hourly,14,2026-06-16 14:00:00+00:00,1,24,49,1,2
hourly,14,2026-06-16 14:00:00+00:00,3,24,49,14,23
hourly,14,2026-06-16 14:00:00+00:00,6,24,49,41,58
hourly,14,2026-06-16 14:00:00+00:00,12,24,49,49,68
hourly,15,2026-06-16 15:00:00+00:00,1,24,50,1,2
hourly,15,2026-06-16 15:00:00+00:00,3,24,50,9,10
hourly,15,2026-06-16 15:00:00+00:00,6,24,50,34,49
hourly,15,2026-06-16 15:00:00+00:00,12,24,50,50,68
hourly,16,2026-06-16 16:00:00+00:00,1,24,50,0,0
hourly,16,2026-06-16 16:00:00+00:00,3,24,50,2,3
hourly,16,2026-06-16 16:00:00+00:00,6,24,50,24,34
hourly,16,2026-06-16 16:00:00+00:00,12,24,50,50,68
hourly,17,2026-06-16 17:00:00+00:00,1,24,50,0,0
hourly,17,2026-06-16 17:00:00+00:00,3,24,50,1,2
hourly,17,2026-06-16 17:00:00+00:00,6,24,50,15,23
hourly,17,2026-06-16 17:00:00+00:00,12,24,50,50,68
hourly,18,2026-06-16 18:00:00+00:00,1,24,51,0,0
hourly,18,2026-06-16 18:00:00+00:00,3,24,51,0,0
hourly,18,2026-06-16 18:00:00+00:00,6,24,51,10,12
hourly,18,2026-06-16 18:00:00+00:00,12,24,51,51,70
hourly,19,2026-06-16 19:00:00+00:00,1,24,71,23,70
hourly,19,2026-06-16 19:00:00+00:00,3,24,71,23,70
hourly,19,2026-06-16 19:00:00+00:00,6,24,71,25,75
hourly,19,2026-06-16 19:00:00+00:00,12,24,71,71,141
hourly,20,2026-06-16 20:00:00+00:00,1,24,122,68,267
hourly,20,2026-06-16 20:00:00+00:00,3,24,122,85,322
hourly,20,2026-06-16 20:00:00+00:00,6,24,122,86,323
hourly,20,2026-06-16 20:00:00+00:00,12,24,122,115,376
hourly,21,2026-06-16 21:00:00+00:00,1,24,160,49,159
hourly,21,2026-06-16 21:00:00+00:00,3,24,160,126,428
hourly,21,2026-06-16 21:00:00+00:00,6,24,160,126,428
hourly,21,2026-06-16 21:00:00+00:00,12,24,160,146,467
hourly,22,2026-06-16 22:00:00+00:00,1,24,213,56,142
hourly,22,2026-06-16 22:00:00+00:00,3,24,213,159,453
hourly,22,2026-06-16 22:00:00+00:00,6,24,213,180,508
hourly,22,2026-06-16 22:00:00+00:00,12,24,213,193,531
hourly,23,2026-06-16 23:00:00+00:00,1,24,237,33,89
hourly,23,2026-06-16 23:00:00+00:00,3,24,237,131,301
hourly,23,2026-06-16 23:00:00+00:00,6,24,237,205,538
hourly,23,2026-06-16 23:00:00+00:00,12,24,237,215,552
hourly,24,2026-06-17 00:00:00+00:00,1,24,248,16,39
hourly,24,2026-06-17 00:00:00+00:00,3,24,248,96,210
hourly,24,2026-06-17 00:00:00+00:00,6,24,248,216,548
hourly,24,2026-06-17 00:00:00+00:00,12,24,248,222,554
hourly,25,2026-06-17 01:00:00+00:00,1,24,266,16,43
hourly,25,2026-06-17 01:00:00+00:00,3,24,266,58,134
hourly,25,2026-06-17 01:00:00+00:00,6,24,266,214,516
hourly,25,2026-06-17 01:00:00+00:00,12,24,266,235,572
hourly,26,2026-06-17 02:00:00+00:00,1,24,285,25,83
hourly,26,2026-06-17 02:00:00+00:00,3,24,285,50,134
hourly,26,2026-06-17 02:00:00+00:00,6,24,285,180,383
hourly,26,2026-06-17 02:00:00+00:00,12,24,285,257,617
hourly,27,2026-06-17 03:00:00+00:00,1,24,313,30,74
hourly,27,2026-06-17 03:00:00+00:00,3,24,313,65,169
hourly,27,2026-06-17 03:00:00+00:00,6,24,313,161,334
hourly,27,2026-06-17 03:00:00+00:00,12,24,313,286,656
hourly,28,2026-06-17 04:00:00+00:00,1,24,330,23,44
hourly,28,2026-06-17 04:00:00+00:00,3,24,330,71,176
hourly,28,2026-06-17 04:00:00+00:00,6,24,330,123,276
hourly,28,2026-06-17 04:00:00+00:00,12,24,330,302,678
hourly,29,2026-06-17 05:00:00+00:00,1,24,338,5,12
hourly,29,2026-06-17 05:00:00+00:00,3,24,338,57,120
hourly,29,2026-06-17 05:00:00+00:00,6,24,338,104,230
hourly,29,2026-06-17 05:00:00+00:00,12,24,338,310,685
hourly,30,2026-06-17 06:00:00+00:00,1,24,343,3,10
hourly,30,2026-06-17 06:00:00+00:00,3,24,343,37,75
hourly,30,2026-06-17 06:00:00+00:00,6,24,343,98,217
hourly,30,2026-06-17 06:00:00+00:00,12,24,343,315,691
hourly,31,2026-06-17 07:00:00+00:00,1,24,350,11,24
hourly,31,2026-06-17 07:00:00+00:00,3,24,350,24,51
hourly,31,2026-06-17 07:00:00+00:00,6,24,350,92,209
hourly,31,2026-06-17 07:00:00+00:00,12,24,350,299,650
hourly,32,2026-06-17 08:00:00+00:00,1,24,358,15,31
hourly,32,2026-06-17 08:00:00+00:00,3,24,358,33,63
hourly,32,2026-06-17 08:00:00+00:00,6,24,358,81,167
hourly,32,2026-06-17 08:00:00+00:00,12,24,358,259,500
hourly,33,2026-06-17 09:00:00+00:00,1,24,359,6,17
hourly,33,2026-06-17 09:00:00+00:00,3,24,359,33,66
hourly,33,2026-06-17 09:00:00+00:00,6,24,359,62,127
hourly,33,2026-06-17 09:00:00+00:00,12,24,359,217,424
hourly,34,2026-06-17 10:00:00+00:00,1,24,357,5,16
hourly,34,2026-06-17 10:00:00+00:00,3,24,357,28,65
hourly,34,2026-06-17 10:00:00+00:00,6,24,357,49,105
hourly,34,2026-06-17 10:00:00+00:00,12,24,357,168,350
hourly,35,2026-06-17 11:00:00+00:00,1,24,354,2,8
hourly,35,2026-06-17 11:00:00+00:00,3,24,354,13,38
hourly,35,2026-06-17 11:00:00+00:00,6,24,354,45,95
hourly,35,2026-06-17 11:00:00+00:00,12,24,354,139,299
hourly,36,2026-06-17 12:00:00+00:00,1,24,350,3,5
hourly,36,2026-06-17 12:00:00+00:00,3,24,350,8,24
hourly,36,2026-06-17 12:00:00+00:00,6,24,350,41,86
hourly,36,2026-06-17 12:00:00+00:00,12,24,350,129,282
hourly,37,2026-06-17 13:00:00+00:00,1,24,346,1,5
hourly,37,2026-06-17 13:00:00+00:00,3,24,346,5,16
hourly,37,2026-06-17 13:00:00+00:00,6,24,346,31,77
hourly,37,2026-06-17 13:00:00+00:00,12,24,346,117,264
hourly,38,2026-06-17 14:00:00+00:00,1,24,346,3,6
hourly,38,2026-06-17 14:00:00+00:00,3,24,346,5,11
hourly,38,2026-06-17 14:00:00+00:00,6,24,346,17,50
