evaluation_hours,requested_fraction,nonempty_hours,empty_hours,older_zero_coverage_hours,zero_coverage_under_every_tie_order,uniform_expected_zero_coverage_hours,older_mean_coverage,older_median_coverage,uniform_mean_expected_coverage,coverage_above_uniform_expectation_hours,coverage_equal_uniform_expectation_hours,coverage_below_uniform_expectation_hours
1,0.1,117,51,86,86,97.56013178697503,0.04104161162980779,0.0,0.018284982765749472,29,1,87
1,0.25,117,51,77,75,90.87910040197565,0.06815242426395773,0.0,0.03204957843743218,39,1,77
1,0.5,117,51,70,70,83.6329878313341,0.11042838890046539,0.0,0.055835954408518525,44,1,72
1,1.0,117,51,64,63,74.64624727970488,0.17197038884777513,0.0,0.10375384782413326,50,1,66
3,0.1,147,21,86,83,98.66182951778538,0.04181068036092555,0.0,0.026968313891396874,55,3,89
3,0.25,147,21,69,69,83.54280841385764,0.0860289277833657,0.05263157894736842,0.05656003649317923,65,3,79
3,0.5,147,21,57,57,71.24699532261982,0.15725278461464687,0.1111111111111111,0.10407598517950895,76,3,68
3,1.0,147,21,49,49,59.22012904638221,0.25672012402395045,0.18309859154929578,0.20043015716478552,77,4,66
6,0.1,151,17,65,62,68.27150226725755,0.05311523059938438,0.04081632653061224,0.03999783174618061,68,6,77
6,0.25,151,17,43,43,51.6100547586479,0.1165713498134782,0.1111111111111111,0.0896786134668219,84,6,61
6,0.5,151,17,36,33,40.334491882576685,0.21056074516835752,0.22,0.17064119904685818,92,6,53
6,1.0,151,17,20,20,29.023362571069306,0.38898331979719025,0.3333333333333333,0.3341538408819163,99,7,45
12,0.1,157,11,22,22,30.831293981289864,0.07442327685785714,0.09885931558935361,0.060834093151987574,105,12,40
12,0.25,157,11,13,13,15.795590631264561,0.17299967782023193,0.19607843137254902,0.14518350032459593,113,13,31
12,0.5,157,11,7,7,7.748348332343266,0.32083515287280856,0.3333333333333333,0.2825427255345667,120,12,25
12,1.0,157,11,6,6,2.650308513089389,0.583148739238346,0.6206896551724138,0.5572637712983829,99,14,44
