source,hour_index,time,evaluation_hours,ranking_hours,older_candidates,recent_resources,recent_labels,requested_fraction,k,older_selected_recent,older_coverage,tie_min_selected_recent,tie_max_selected_recent,uniform_expected_coverage,uniform_zero_coverage_probability,coverage_minus_uniform_expectation,recent_component_before,recent_component_after,Q_recent,older_component_before,older_component_after,Q_older
hourly,8,2026-06-16 08:00:00+00:00,1,24,5,5,7,0.1,1,1,0.2,1,1,0.2,0.0,0.0,5,4,0.8,5,4,0.8
hourly,8,2026-06-16 08:00:00+00:00,1,24,5,5,7,0.25,2,2,0.4,2,2,0.4,0.0,0.0,5,3,0.6,5,3,0.6
hourly,8,2026-06-16 08:00:00+00:00,1,24,5,5,7,0.5,3,3,0.6,3,3,0.6,0.0,0.0,5,3,0.6,5,3,0.6
hourly,8,2026-06-16 08:00:00+00:00,1,24,5,5,7,1.0,5,5,1.0,5,5,1.0,0.0,0.0,5,1,0.2,5,1,0.2
hourly,8,2026-06-16 08:00:00+00:00,3,24,5,5,7,0.1,1,1,0.2,1,1,0.2,0.0,0.0,5,4,0.8,5,4,0.8
hourly,8,2026-06-16 08:00:00+00:00,3,24,5,5,7,0.25,2,2,0.4,2,2,0.4,0.0,0.0,5,3,0.6,5,3,0.6
hourly,8,2026-06-16 08:00:00+00:00,3,24,5,5,7,0.5,3,3,0.6,3,3,0.6,0.0,0.0,5,3,0.6,5,3,0.6
hourly,8,2026-06-16 08:00:00+00:00,3,24,5,5,7,1.0,5,5,1.0,5,5,1.0,0.0,0.0,5,1,0.2,5,1,0.2
hourly,8,2026-06-16 08:00:00+00:00,6,24,5,5,7,0.1,1,1,0.2,1,1,0.2,0.0,0.0,5,4,0.8,5,4,0.8
hourly,8,2026-06-16 08:00:00+00:00,6,24,5,5,7,0.25,2,2,0.4,2,2,0.4,0.0,0.0,5,3,0.6,5,3,0.6
hourly,8,2026-06-16 08:00:00+00:00,6,24,5,5,7,0.5,3,3,0.6,3,3,0.6,0.0,0.0,5,3,0.6,5,3,0.6
hourly,8,2026-06-16 08:00:00+00:00,6,24,5,5,7,1.0,5,5,1.0,5,5,1.0,0.0,0.0,5,1,0.2,5,1,0.2
hourly,8,2026-06-16 08:00:00+00:00,12,24,5,5,7,0.1,1,1,0.2,1,1,0.2,0.0,0.0,5,4,0.8,5,4,0.8
hourly,8,2026-06-16 08:00:00+00:00,12,24,5,5,7,0.25,2,2,0.4,2,2,0.4,0.0,0.0,5,3,0.6,5,3,0.6
hourly,8,2026-06-16 08:00:00+00:00,12,24,5,5,7,0.5,3,3,0.6,3,3,0.6,0.0,0.0,5,3,0.6,5,3,0.6
hourly,8,2026-06-16 08:00:00+00:00,12,24,5,5,7,1.0,5,5,1.0,5,5,1.0,0.0,0.0,5,1,0.2,5,1,0.2
hourly,9,2026-06-16 09:00:00+00:00,1,24,10,4,8,0.1,1,1,0.25,1,1,0.1,0.6,0.15,2,2,1.0,10,10,1.0
hourly,9,2026-06-16 09:00:00+00:00,1,24,10,4,8,0.25,1,1,0.25,1,1,0.1,0.6,0.15,2,2,1.0,10,10,1.0
hourly,9,2026-06-16 09:00:00+00:00,1,24,10,4,8,0.5,2,2,0.5,2,2,0.2,0.3333333333333333,0.3,2,2,1.0,10,5,0.5
hourly,9,2026-06-16 09:00:00+00:00,1,24,10,4,8,1.0,4,3,0.75,2,3,0.4,0.07142857142857142,0.35,2,2,1.0,10,5,0.5
hourly,9,2026-06-16 09:00:00+00:00,3,24,10,10,18,0.1,1,1,0.1,1,1,0.1,0.0,0.0,10,10,1.0,10,10,1.0
hourly,9,2026-06-16 09:00:00+00:00,3,24,10,10,18,0.25,3,3,0.3,3,3,0.3,0.0,0.0,10,5,0.5,10,5,0.5
hourly,9,2026-06-16 09:00:00+00:00,3,24,10,10,18,0.5,5,5,0.5,5,5,0.5,0.0,0.0,10,5,0.5,10,5,0.5
hourly,9,2026-06-16 09:00:00+00:00,3,24,10,10,18,1.0,10,10,1.0,10,10,1.0,0.0,0.0,10,1,0.1,10,1,0.1
hourly,9,2026-06-16 09:00:00+00:00,6,24,10,10,18,0.1,1,1,0.1,1,1,0.1,0.0,0.0,10,10,1.0,10,10,1.0
hourly,9,2026-06-16 09:00:00+00:00,6,24,10,10,18,0.25,3,3,0.3,3,3,0.3,0.0,0.0,10,5,0.5,10,5,0.5
hourly,9,2026-06-16 09:00:00+00:00,6,24,10,10,18,0.5,5,5,0.5,5,5,0.5,0.0,0.0,10,5,0.5,10,5,0.5
hourly,9,2026-06-16 09:00:00+00:00,6,24,10,10,18,1.0,10,10,1.0,10,10,1.0,0.0,0.0,10,1,0.1,10,1,0.1
hourly,9,2026-06-16 09:00:00+00:00,12,24,10,10,18,0.1,1,1,0.1,1,1,0.1,0.0,0.0,10,10,1.0,10,10,1.0
hourly,9,2026-06-16 09:00:00+00:00,12,24,10,10,18,0.25,3,3,0.3,3,3,0.3,0.0,0.0,10,5,0.5,10,5,0.5
hourly,9,2026-06-16 09:00:00+00:00,12,24,10,10,18,0.5,5,5,0.5,5,5,0.5,0.0,0.0,10,5,0.5,10,5,0.5
hourly,9,2026-06-16 09:00:00+00:00,12,24,10,10,18,1.0,10,10,1.0,10,10,1.0,0.0,0.0,10,1,0.1,10,1,0.1
hourly,10,2026-06-16 10:00:00+00:00,1,24,29,13,25,0.1,2,2,0.15384615384615385,2,2,0.06896551724137931,0.2955665024630542,0.08488063660477455,13,6,0.46153846153846156,31,24,0.7741935483870968
hourly,10,2026-06-16 10:00:00+00:00,1,24,29,13,25,0.25,4,3,0.23076923076923078,3,4,0.13793103448275862,0.07662835249042145,0.09283819628647216,13,6,0.46153846153846156,31,20,0.6451612903225806
hourly,10,2026-06-16 10:00:00+00:00,1,24,29,13,25,0.5,7,6,0.46153846153846156,5,6,0.2413793103448276,0.007329668499083792,0.22015915119363397,13,2,0.15384615384615385,31,15,0.4838709677419355
hourly,10,2026-06-16 10:00:00+00:00,1,24,29,13,25,1.0,13,7,0.5384615384615384,7,9,0.4482758620689655,8.251808048504128e-06,0.09018567639257291,13,2,0.15384615384615385,31,5,0.16129032258064516
hourly,10,2026-06-16 10:00:00+00:00,3,24,29,29,45,0.1,3,3,0.10344827586206896,3,3,0.10344827586206896,0.0,0.0,31,20,0.6451612903225806,31,20,0.6451612903225806
hourly,10,2026-06-16 10:00:00+00:00,3,24,29,29,45,0.25,8,8,0.27586206896551724,8,8,0.27586206896551724,0.0,0.0,31,10,0.3225806451612903,31,10,0.3225806451612903
hourly,10,2026-06-16 10:00:00+00:00,3,24,29,29,45,0.5,15,15,0.5172413793103449,15,15,0.5172413793103449,0.0,0.0,31,5,0.16129032258064516,31,5,0.16129032258064516
hourly,10,2026-06-16 10:00:00+00:00,3,24,29,29,45,1.0,29,29,1.0,29,29,1.0,0.0,0.0,31,1,0.03225806451612903,31,1,0.03225806451612903
hourly,10,2026-06-16 10:00:00+00:00,6,24,29,29,45,0.1,3,3,0.10344827586206896,3,3,0.10344827586206896,0.0,0.0,31,20,0.6451612903225806,31,20,0.6451612903225806
hourly,10,2026-06-16 10:00:00+00:00,6,24,29,29,45,0.25,8,8,0.27586206896551724,8,8,0.27586206896551724,0.0,0.0,31,10,0.3225806451612903,31,10,0.3225806451612903
hourly,10,2026-06-16 10:00:00+00:00,6,24,29,29,45,0.5,15,15,0.5172413793103449,15,15,0.5172413793103449,0.0,0.0,31,5,0.16129032258064516,31,5,0.16129032258064516
hourly,10,2026-06-16 10:00:00+00:00,6,24,29,29,45,1.0,29,29,1.0,29,29,1.0,0.0,0.0,31,1,0.03225806451612903,31,1,0.03225806451612903
hourly,10,2026-06-16 10:00:00+00:00,12,24,29,29,45,0.1,3,3,0.10344827586206896,3,3,0.10344827586206896,0.0,0.0,31,20,0.6451612903225806,31,20,0.6451612903225806
hourly,10,2026-06-16 10:00:00+00:00,12,24,29,29,45,0.25,8,8,0.27586206896551724,8,8,0.27586206896551724,0.0,0.0,31,10,0.3225806451612903,31,10,0.3225806451612903
hourly,10,2026-06-16 10:00:00+00:00,12,24,29,29,45,0.5,15,15,0.5172413793103449,15,15,0.5172413793103449,0.0,0.0,31,5,0.16129032258064516,31,5,0.16129032258064516
hourly,10,2026-06-16 10:00:00+00:00,12,24,29,29,45,1.0,29,29,1.0,29,29,1.0,0.0,0.0,31,1,0.03225806451612903,31,1,0.03225806451612903
hourly,11,2026-06-16 11:00:00+00:00,1,24,40,12,24,0.1,2,2,0.16666666666666666,2,2,0.05,0.4846153846153846,0.11666666666666665,13,7,0.5384615384615384,40,30,0.75
hourly,11,2026-06-16 11:00:00+00:00,1,24,40,12,24,0.25,3,3,0.25,2,3,0.075,0.33157894736842103,0.175,13,7,0.5384615384615384,40,29,0.725
hourly,11,2026-06-16 11:00:00+00:00,1,24,40,12,24,0.5,6,4,0.3333333333333333,4,5,0.15,0.09815078236130868,0.18333333333333332,13,6,0.46153846153846156,40,26,0.65
hourly,11,2026-06-16 11:00:00+00:00,1,24,40,12,24,1.0,12,7,0.5833333333333334,6,8,0.3,0.005445239455250579,0.2833333333333334,13,4,0.3076923076923077,40,21,0.525
hourly,11,2026-06-16 11:00:00+00:00,3,24,40,32,47,0.1,4,4,0.125,4,4,0.1,0.000765948134369187,0.024999999999999994,33,21,0.6363636363636364,40,29,0.725
hourly,11,2026-06-16 11:00:00+00:00,3,24,40,32,47,0.25,8,8,0.25,8,8,0.2,1.3003108978341176e-08,0.04999999999999999,33,7,0.21212121212121213,40,23,0.575
hourly,11,2026-06-16 11:00:00+00:00,3,24,40,32,47,0.5,16,15,0.46875,15,16,0.4,0.0,0.06874999999999998,33,5,0.15151515151515152,40,12,0.3
hourly,11,2026-06-16 11:00:00+00:00,3,24,40,32,47,1.0,32,24,0.75,24,31,0.8,0.0,-0.050000000000000044,33,4,0.12121212121212122,40,4,0.1
hourly,11,2026-06-16 11:00:00+00:00,6,24,40,40,58,0.1,4,4,0.1,4,4,0.1,0.0,0.0,40,29,0.725,40,29,0.725
hourly,11,2026-06-16 11:00:00+00:00,6,24,40,40,58,0.25,10,10,0.25,10,10,0.25,0.0,0.0,40,23,0.575,40,23,0.575
hourly,11,2026-06-16 11:00:00+00:00,6,24,40,40,58,0.5,20,20,0.5,20,20,0.5,0.0,0.0,40,6,0.15,40,6,0.15
hourly,11,2026-06-16 11:00:00+00:00,6,24,40,40,58,1.0,40,40,1.0,40,40,1.0,0.0,0.0,40,1,0.025,40,1,0.025
hourly,11,2026-06-16 11:00:00+00:00,12,24,40,40,58,0.1,4,4,0.1,4,4,0.1,0.0,0.0,40,29,0.725,40,29,0.725
hourly,11,2026-06-16 11:00:00+00:00,12,24,40,40,58,0.25,10,10,0.25,10,10,0.25,0.0,0.0,40,23,0.575,40,23,0.575
hourly,11,2026-06-16 11:00:00+00:00,12,24,40,40,58,0.5,20,20,0.5,20,20,0.5,0.0,0.0,40,6,0.15,40,6,0.15
hourly,11,2026-06-16 11:00:00+00:00,12,24,40,40,58,1.0,40,40,1.0,40,40,1.0,0.0,0.0,40,1,0.025,40,1,0.025
hourly,12,2026-06-16 12:00:00+00:00,1,24,43,5,16,0.1,1,0,0.0,0,0,0.023255813953488372,0.8837209302325582,-0.023255813953488372,6,6,1.0,40,30,0.75
hourly,12,2026-06-16 12:00:00+00:00,1,24,43,5,16,0.25,2,0,0.0,0,0,0.046511627906976744,0.778516057585825,-0.046511627906976744,6,6,1.0,40,30,0.75
hourly,12,2026-06-16 12:00:00+00:00,1,24,43,5,16,0.5,3,0,0.0,0,0,0.06976744186046512,0.6835750749534073,-0.06976744186046512,6,6,1.0,40,29,0.725
hourly,12,2026-06-16 12:00:00+00:00,1,24,43,5,16,1.0,5,1,0.2,0,1,0.11627906976744186,0.5214450892272787,0.08372093023255815,6,6,1.0,40,29,0.725
hourly,12,2026-06-16 12:00:00+00:00,3,24,43,25,41,0.1,3,3,0.12,3,3,0.06976744186046512,0.06612105988169516,0.05023255813953488,30,19,0.6333333333333333,40,29,0.725
hourly,12,2026-06-16 12:00:00+00:00,3,24,43,25,41,0.25,7,7,0.28,6,7,0.16279069767441862,0.0009875833979485053,0.11720930232558141,30,9,0.3,40,26,0.65
hourly,12,2026-06-16 12:00:00+00:00,3,24,43,25,41,0.5,13,12,0.48,12,12,0.3023255813953488,2.3424653651530012e-07,0.17767441860465116,30,5,0.16666666666666666,40,22,0.55
hourly,12,2026-06-16 12:00:00+00:00,3,24,43,25,41,1.0,25,20,0.8,18,21,0.5813953488372093,0.0,0.2186046511627907,30,2,0.06666666666666667,40,6,0.15
hourly,12,2026-06-16 12:00:00+00:00,6,24,43,43,61,0.1,5,5,0.11627906976744186,5,5,0.11627906976744186,0.0,0.0,40,29,0.725,40,29,0.725
hourly,12,2026-06-16 12:00:00+00:00,6,24,43,43,61,0.25,11,11,0.2558139534883721,11,11,0.2558139534883721,0.0,0.0,40,22,0.55,40,22,0.55
hourly,12,2026-06-16 12:00:00+00:00,6,24,43,43,61,0.5,22,22,0.5116279069767442,22,22,0.5116279069767442,0.0,0.0,40,6,0.15,40,6,0.15
hourly,12,2026-06-16 12:00:00+00:00,6,24,43,43,61,1.0,43,43,1.0,43,43,1.0,0.0,0.0,40,1,0.025,40,1,0.025
hourly,12,2026-06-16 12:00:00+00:00,12,24,43,43,61,0.1,5,5,0.11627906976744186,5,5,0.11627906976744186,0.0,0.0,40,29,0.725,40,29,0.725
hourly,12,2026-06-16 12:00:00+00:00,12,24,43,43,61,0.25,11,11,0.2558139534883721,11,11,0.2558139534883721,0.0,0.0,40,22,0.55,40,22,0.55
hourly,12,2026-06-16 12:00:00+00:00,12,24,43,43,61,0.5,22,22,0.5116279069767442,22,22,0.5116279069767442,0.0,0.0,40,6,0.15,40,6,0.15
