k,fraction_removed,R0,R_degree,D_degree,Q_degree,R_random_p05,R_random_median,R_random_p95,Q_random_median,G,R_tie_p05,R_tie_median,R_tie_p95,random_fraction_at_least_as_disruptive
0,0.0,0.2962962962962963,0.2962962962962963,0.0,1.0,0.2962962962962963,0.2962962962962963,0.2962962962962963,1.0,0.0,0.2962962962962963,0.2962962962962963,0.2962962962962963,1.0
1,0.05555555555555555,0.2962962962962963,0.2962962962962963,0.0,1.0,0.2222222222222222,0.2962962962962963,0.2962962962962963,1.0,0.0,0.2222222222222222,0.2962962962962963,0.2962962962962963,1.0
2,0.1111111111111111,0.2962962962962963,0.2962962962962963,0.0,1.0,0.2222222222222222,0.25925925925925924,0.2962962962962963,0.875,-0.037037037037037035,0.2222222222222222,0.2962962962962963,0.2962962962962963,1.0
3,0.16666666666666666,0.2962962962962963,0.2222222222222222,0.07407407407407407,0.75,0.2222222222222222,0.25925925925925924,0.2962962962962963,0.875,0.037037037037037035,0.2222222222222222,0.2222222222222222,0.2962962962962963,0.314
4,0.2222222222222222,0.2962962962962963,0.2222222222222222,0.07407407407407407,0.75,0.18518518518518517,0.25925925925925924,0.2962962962962963,0.875,0.037037037037037035,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.458
5,0.2777777777777778,0.2962962962962963,0.2222222222222222,0.07407407407407407,0.75,0.18518518518518517,0.2222222222222222,0.2962962962962963,0.75,0.0,0.18518518518518517,0.2222222222222222,0.2222222222222222,0.598
6,0.3333333333333333,0.2962962962962963,0.2222222222222222,0.07407407407407407,0.75,0.14814814814814814,0.2222222222222222,0.2962962962962963,0.75,0.0,0.14814814814814814,0.18518518518518517,0.2222222222222222,0.722
7,0.3888888888888889,0.2962962962962963,0.18518518518518517,0.1111111111111111,0.625,0.14814814814814814,0.2222222222222222,0.25925925925925924,0.75,0.037037037037037035,0.14814814814814814,0.18518518518518517,0.2222222222222222,0.398
8,0.4444444444444444,0.2962962962962963,0.14814814814814814,0.14814814814814814,0.5,0.14814814814814814,0.18518518518518517,0.25925925925925924,0.625,0.037037037037037035,0.14814814814814814,0.14814814814814814,0.2222222222222222,0.224
9,0.5,0.2962962962962963,0.14814814814814814,0.14814814814814814,0.5,0.1111111111111111,0.18518518518518517,0.22407407407407237,0.625,0.037037037037037035,0.1111111111111111,0.14814814814814814,0.18518518518518517,0.356
10,0.5555555555555556,0.2962962962962963,0.14814814814814814,0.14814814814814814,0.5,0.1111111111111111,0.18518518518518517,0.2222222222222222,0.625,0.037037037037037035,0.1111111111111111,0.14814814814814814,0.18518518518518517,0.482
11,0.6111111111111112,0.2962962962962963,0.14814814814814814,0.14814814814814814,0.5,0.1111111111111111,0.14814814814814814,0.2222222222222222,0.5,0.0,0.1111111111111111,0.14814814814814814,0.18518518518518517,0.636
12,0.6666666666666666,0.2962962962962963,0.14814814814814814,0.14814814814814814,0.5,0.1111111111111111,0.14814814814814814,0.2222222222222222,0.5,0.0,0.07407407407407407,0.1111111111111111,0.18518518518518517,0.78
13,0.7222222222222222,0.2962962962962963,0.14814814814814814,0.14814814814814814,0.5,0.1111111111111111,0.1111111111111111,0.18518518518518517,0.375,-0.037037037037037035,0.07407407407407407,0.1111111111111111,0.14814814814814814,0.874
14,0.7777777777777778,0.2962962962962963,0.14814814814814814,0.14814814814814814,0.5,0.07407407407407407,0.1111111111111111,0.18518518518518517,0.375,-0.037037037037037035,0.07407407407407407,0.1111111111111111,0.14814814814814814,0.93
15,0.8333333333333334,0.2962962962962963,0.1111111111111111,0.18518518518518517,0.375,0.07407407407407407,0.1111111111111111,0.14814814814814814,0.375,0.0,0.07407407407407407,0.07407407407407407,0.1111111111111111,0.85
16,0.8888888888888888,0.2962962962962963,0.07407407407407407,0.2222222222222222,0.25,0.07407407407407407,0.1111111111111111,0.1111111111111111,0.375,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.1111111111111111,0.45
17,0.9444444444444444,0.2962962962962963,0.07407407407407407,0.2222222222222222,0.25,0.07407407407407407,0.07407407407407407,0.1111111111111111,0.25,0.0,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.756
18,1.0,0.2962962962962963,0.037037037037037035,0.25925925925925924,0.125,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.125,0.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,1.0
